Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Target
1;1;0;20;0;0;0;0;0;0;Dropout
0;1;0;19;6;6;14;6;6;13,67;Graduate
0;1;0;19;6;0;0;6;0;0;Dropout
1;0;0;20;6;6;13,43;6;5;12,4;Graduate
1;0;0;45;6;5;12,33;6;6;13;Graduate
1;1;0;50;5;5;11,86;5;5;11,5;Graduate
1;0;1;18;7;7;13,3;8;8;14,35;Graduate
0;1;0;22;5;0;0;5;0;0;Dropout
1;0;1;21;6;6;13,88;6;6;14,14;Graduate
0;0;0;18;6;5;11,4;6;2;13,5;Dropout
1;0;0;18;6;6;12,33;6;5;14,2;Graduate
1;0;1;18;8;7;13,21;8;7;13,21;Graduate
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;1;21;6;6;10,57;6;5;11;Graduate
1;0;1;18;5;4;13,25;5;5;12;Graduate
1;0;0;20;6;5;13,2;6;0;0;Dropout
1;0;0;18;6;1;12;6;2;11;Enrolled
1;0;0;18;7;7;13,31;8;8;14,55;Graduate
1;0;0;20;5;4;12,5;5;4;12,25;Graduate
1;0;0;18;7;6;11,67;7;6;13,5;Enrolled
1;0;1;21;0;0;0;0;0;0;Graduate
1;0;0;20;7;7;11,44;8;8;11,43;Enrolled
1;0;0;18;8;7;12,86;8;7;12,86;Graduate
1;0;1;19;6;6;13,38;6;6;12,29;Graduate
1;0;0;19;7;6;13,3;8;7;14,11;Graduate
1;0;1;18;6;5;11,6;6;4;11;Enrolled
1;0;0;21;6;6;11,38;6;6;13,29;Graduate
1;0;0;18;5;5;12,67;5;4;13;Enrolled
1;0;0;20;5;5;12;5;5;12,33;Graduate
1;1;0;19;7;6;12,93;7;6;13,72;Enrolled
1;1;0;21;6;5;11,86;6;5;10,57;Enrolled
1;1;0;20;6;6;12,83;6;4;13,4;Graduate
0;1;0;18;5;3;11,33;5;2;13,5;Enrolled
1;0;0;19;6;6;12,67;6;6;14,38;Graduate
1;1;0;34;5;5;12,4;5;5;13,43;Graduate
0;1;0;37;7;0;0;7;1;10;Dropout
1;1;0;43;5;0;0;5;0;0;Dropout
